study,domain,mode,model,mae,mse,rmse,r2,bias_offset
wind,indomain,raw,dt,0.526,0.505,0.711,-0.042,
wind,indomain,raw,rf,0.457,0.383,0.619,0.209,
wind,indomain,raw,xgb,0.463,0.377,0.614,0.221,
wind,indomain,bias,dt,0.516,0.506,0.711,-0.044,-0.12
wind,indomain,bias,rf,0.435,0.395,0.628,0.186,-0.17
wind,indomain,bias,xgb,0.423,0.381,0.617,0.213,-0.23
wind,crossdomain,raw,dt,0.516,0.522,0.723,-0.017,
wind,crossdomain,raw,rf,0.46,0.43,0.656,0.163,
wind,crossdomain,raw,xgb,0.465,0.437,0.661,0.149,
wind,crossdomain,bias,dt,0.496,0.52,0.721,-0.013,-0.18
wind,crossdomain,bias,rf,0.435,0.432,0.657,0.159,-0.18
wind,crossdomain,bias,xgb,0.44,0.436,0.66,0.151,-0.19
temp,indomain,raw,dt,0.85,2.813,1.677,0.378,
temp,indomain,raw,rf,0.885,2.621,1.619,0.42,
temp,indomain,raw,xgb,1.281,3.375,1.837,0.254,
temp,indomain,bias,dt,0.835,2.912,1.706,0.356,-0.17
temp,indomain,bias,rf,0.821,2.718,1.649,0.399,-0.37
temp,indomain,bias,xgb,0.932,2.967,1.722,0.344,-0.94
temp,crossdomain,raw,dt,1.821,4.192,2.047,-8.244,
temp,crossdomain,raw,rf,1.516,3.211,1.792,-6.08,
temp,crossdomain,raw,xgb,2.346,8.353,2.89,-17.42,
temp,crossdomain,bias,dt,0.781,1.015,1.008,-1.239,-1.67
temp,crossdomain,bias,rf,0.817,1.123,1.06,-1.477,-1.32
temp,crossdomain,bias,xgb,1.59,3.437,1.854,-6.58,-1.99
